2025-07-28 18:08:40 | test/module | Payload: 2759 | Loss: 0.00% | Missed: 0 | Δt: 0.000s | Avg Δt: 0.000s
2025-07-28 18:13:45 | test/module | Payload: 346 | Loss: 0.00% | Missed: 0 | Δt: 0.771s | Avg Δt: 0.611s
2025-07-28 18:13:46 | test/module | Payload: 347 | Loss: 0.00% | Missed: 0 | Δt: 0.756s | Avg Δt: 0.635s
2025-07-28 18:13:47 | test/module | Payload: 348 | Loss: 0.00% | Missed: 0 | Δt: 0.845s | Avg Δt: 0.665s
2025-07-28 18:13:48 | test/module | Payload: 349 | Loss: 0.00% | Missed: 0 | Δt: 0.846s | Avg Δt: 0.687s
2025-07-28 18:13:49 | test/module | Payload: 350 | Loss: 0.00% | Missed: 0 | Δt: 1.106s | Avg Δt: 0.734s
2025-07-28 18:13:50 | test/module | Payload: 351 | Loss: 0.00% | Missed: 0 | Δt: 0.741s | Avg Δt: 0.735s
2025-07-28 18:13:50 | test/module | Payload: 352 | Loss: 0.00% | Missed: 0 | Δt: 0.835s | Avg Δt: 0.744s
2025-07-28 18:13:51 | test/module | Payload: 353 | Loss: 0.00% | Missed: 0 | Δt: 0.786s | Avg Δt: 0.747s
2025-07-28 18:13:52 | test/module | Payload: 354 | Loss: 0.00% | Missed: 0 | Δt: 0.791s | Avg Δt: 0.751s
2025-07-28 18:13:53 | test/module | Payload: 355 | Loss: 0.00% | Missed: 0 | Δt: 0.632s | Avg Δt: 0.742s
2025-07-28 18:13:53 | test/module | Payload: 356 | Loss: 0.00% | Missed: 0 | Δt: 0.714s | Avg Δt: 0.740s
2025-07-28 18:14:02 | test/module | Payload: 366 | Loss: 0.00% | Missed: 0 | Δt: 0.103s | Avg Δt: 0.103s
2025-07-28 18:14:02 | test/module | Payload: 367 | Loss: 0.00% | Missed: 0 | Δt: 0.642s | Avg Δt: 0.373s
2025-07-28 18:14:03 | test/module | Payload: 368 | Loss: 0.00% | Missed: 0 | Δt: 0.661s | Avg Δt: 0.469s
2025-07-28 18:14:04 | test/module | Payload: 369 | Loss: 0.00% | Missed: 0 | Δt: 0.922s | Avg Δt: 0.582s
2025-07-28 18:14:05 | test/module | Payload: 370 | Loss: 0.00% | Missed: 0 | Δt: 0.805s | Avg Δt: 0.627s
2025-07-28 18:14:05 | test/module | Payload: 371 | Loss: 0.00% | Missed: 0 | Δt: 0.832s | Avg Δt: 0.661s
2025-07-28 18:14:06 | test/module | Payload: 372 | Loss: 0.00% | Missed: 0 | Δt: 0.856s | Avg Δt: 0.689s
2025-07-28 18:14:07 | test/module | Payload: 373 | Loss: 0.00% | Missed: 0 | Δt: 0.805s | Avg Δt: 0.703s
2025-07-28 18:14:08 | test/module | Payload: 374 | Loss: 0.00% | Missed: 0 | Δt: 0.747s | Avg Δt: 0.708s
2025-07-28 18:14:09 | test/module | Payload: 375 | Loss: 0.00% | Missed: 0 | Δt: 0.784s | Avg Δt: 0.716s
2025-07-28 18:14:10 | test/module | Payload: 376 | Loss: 0.00% | Missed: 0 | Δt: 1.078s | Avg Δt: 0.749s
2025-07-28 18:14:11 | test/module | Payload: 377 | Loss: 0.00% | Missed: 0 | Δt: 0.908s | Avg Δt: 0.762s
2025-07-28 18:14:12 | test/module | Payload: 378 | Loss: 0.00% | Missed: 0 | Δt: 0.834s | Avg Δt: 0.768s
2025-07-28 18:14:12 | test/module | Payload: 379 | Loss: 0.00% | Missed: 0 | Δt: 0.809s | Avg Δt: 0.770s
2025-07-28 18:14:13 | test/module | Payload: 380 | Loss: 0.00% | Missed: 0 | Δt: 0.961s | Avg Δt: 0.783s
2025-07-28 18:14:14 | test/module | Payload: 381 | Loss: 0.00% | Missed: 0 | Δt: 0.723s | Avg Δt: 0.779s
2025-07-28 18:14:15 | test/module | Payload: 382 | Loss: 0.00% | Missed: 0 | Δt: 1.037s | Avg Δt: 0.795s
2025-07-28 18:14:17 | test/module | Payload: 383 | Loss: 0.00% | Missed: 0 | Δt: 2.071s | Avg Δt: 0.866s
2025-07-28 18:14:18 | test/module | Payload: 384 | Loss: 0.00% | Missed: 0 | Δt: 0.520s | Avg Δt: 0.847s
2025-07-28 18:14:18 | test/module | Payload: 385 | Loss: 0.00% | Missed: 0 | Δt: 0.696s | Avg Δt: 0.840s
2025-07-28 18:14:19 | test/module | Payload: 386 | Loss: 0.00% | Missed: 0 | Δt: 0.663s | Avg Δt: 0.831s
2025-07-28 18:14:20 | test/module | Payload: 387 | Loss: 0.00% | Missed: 0 | Δt: 0.646s | Avg Δt: 0.823s
2025-07-28 18:14:20 | test/module | Payload: 388 | Loss: 0.00% | Missed: 0 | Δt: 0.855s | Avg Δt: 0.824s
2025-07-28 18:14:21 | test/module | Payload: 389 | Loss: 0.00% | Missed: 0 | Δt: 0.659s | Avg Δt: 0.817s
2025-07-28 18:14:22 | test/module | Payload: 390 | Loss: 0.00% | Missed: 0 | Δt: 0.784s | Avg Δt: 0.816s
2025-07-28 18:14:23 | test/module | Payload: 391 | Loss: 0.00% | Missed: 0 | Δt: 0.898s | Avg Δt: 0.819s
2025-07-28 18:14:23 | test/module | Payload: 392 | Loss: 0.00% | Missed: 0 | Δt: 0.585s | Avg Δt: 0.811s
2025-07-28 18:14:27 | test/module | Payload: 393 | Loss: 0.00% | Missed: 0 | Δt: 3.700s | Avg Δt: 0.914s
2025-07-28 18:14:33 | test/module | Payload: 394 | Loss: 0.00% | Missed: 0 | Δt: 5.889s | Avg Δt: 1.085s
2025-07-28 18:14:34 | test/module | Payload: 395 | Loss: 0.00% | Missed: 0 | Δt: 1.139s | Avg Δt: 1.087s
2025-07-28 18:14:35 | test/module | Payload: 396 | Loss: 0.00% | Missed: 0 | Δt: 0.687s | Avg Δt: 1.074s
2025-07-28 18:14:36 | test/module | Payload: 397 | Loss: 0.00% | Missed: 0 | Δt: 0.839s | Avg Δt: 1.067s
2025-07-28 18:14:37 | test/module | Payload: 398 | Loss: 0.00% | Missed: 0 | Δt: 0.836s | Avg Δt: 1.060s
2025-07-28 18:14:37 | test/module | Payload: 399 | Loss: 0.00% | Missed: 0 | Δt: 0.900s | Avg Δt: 1.055s
2025-07-28 18:14:41 | test/module | Payload: 400 | Loss: 0.00% | Missed: 0 | Δt: 4.095s | Avg Δt: 1.142s
2025-07-28 18:14:42 | test/module | Payload: 401 | Loss: 0.00% | Missed: 0 | Δt: 0.663s | Avg Δt: 1.129s
2025-07-28 18:14:44 | test/module | Payload: 402 | Loss: 0.00% | Missed: 0 | Δt: 1.456s | Avg Δt: 1.138s
2025-07-28 18:14:44 | test/module | Payload: 403 | Loss: 0.00% | Missed: 0 | Δt: 0.785s | Avg Δt: 1.128s
2025-07-28 18:14:46 | test/module | Payload: 404 | Loss: 0.00% | Missed: 0 | Δt: 1.169s | Avg Δt: 1.129s
2025-07-28 18:14:47 | test/module | Payload: 405 | Loss: 0.00% | Missed: 0 | Δt: 1.031s | Avg Δt: 1.127s
2025-07-28 18:14:47 | test/module | Payload: 406 | Loss: 0.00% | Missed: 0 | Δt: 0.791s | Avg Δt: 1.119s
2025-07-28 18:14:51 | test/module | Payload: 407 | Loss: 0.00% | Missed: 0 | Δt: 3.433s | Avg Δt: 1.174s
2025-07-28 18:14:51 | test/module | Payload: 408 | Loss: 0.00% | Missed: 0 | Δt: 0.486s | Avg Δt: 1.158s
2025-07-28 18:14:52 | test/module | Payload: 409 | Loss: 0.00% | Missed: 0 | Δt: 0.631s | Avg Δt: 1.146s
2025-07-28 18:14:53 | test/module | Payload: 410 | Loss: 0.00% | Missed: 0 | Δt: 0.767s | Avg Δt: 1.137s
2025-07-28 18:14:53 | test/module | Payload: 411 | Loss: 0.00% | Missed: 0 | Δt: 0.700s | Avg Δt: 1.128s
2025-07-28 18:14:54 | test/module | Payload: 412 | Loss: 0.00% | Missed: 0 | Δt: 0.712s | Avg Δt: 1.119s
2025-07-28 18:14:55 | test/module | Payload: 413 | Loss: 0.00% | Missed: 0 | Δt: 0.688s | Avg Δt: 1.110s
2025-07-28 18:14:56 | test/module | Payload: 414 | Loss: 0.00% | Missed: 0 | Δt: 0.826s | Avg Δt: 1.104s
2025-07-28 18:14:59 | test/module | Payload: 415 | Loss: 0.00% | Missed: 0 | Δt: 3.288s | Avg Δt: 1.148s
2025-07-28 18:15:00 | test/module | Payload: 416 | Loss: 0.00% | Missed: 0 | Δt: 0.601s | Avg Δt: 1.137s
2025-07-28 18:15:00 | test/module | Payload: 417 | Loss: 0.00% | Missed: 0 | Δt: 0.559s | Avg Δt: 1.126s
2025-07-28 18:15:01 | test/module | Payload: 418 | Loss: 0.00% | Missed: 0 | Δt: 0.813s | Avg Δt: 1.120s
2025-07-28 18:15:02 | test/module | Payload: 419 | Loss: 0.00% | Missed: 0 | Δt: 0.791s | Avg Δt: 1.114s
2025-07-28 18:15:03 | test/module | Payload: 420 | Loss: 0.00% | Missed: 0 | Δt: 0.952s | Avg Δt: 1.111s
2025-07-28 18:15:04 | test/module | Payload: 421 | Loss: 0.00% | Missed: 0 | Δt: 0.944s | Avg Δt: 1.108s
2025-07-28 18:15:04 | test/module | Payload: 422 | Loss: 0.00% | Missed: 0 | Δt: 0.765s | Avg Δt: 1.102s
2025-07-28 18:15:05 | test/module | Payload: 423 | Loss: 0.00% | Missed: 0 | Δt: 0.742s | Avg Δt: 1.096s
2025-07-28 18:15:06 | test/module | Payload: 424 | Loss: 0.00% | Missed: 0 | Δt: 0.830s | Avg Δt: 1.091s
2025-07-28 18:15:07 | test/module | Payload: 425 | Loss: 0.00% | Missed: 0 | Δt: 0.929s | Avg Δt: 1.089s
2025-07-28 18:15:08 | test/module | Payload: 426 | Loss: 0.00% | Missed: 0 | Δt: 0.694s | Avg Δt: 1.082s
2025-07-28 18:15:08 | test/module | Payload: 427 | Loss: 0.00% | Missed: 0 | Δt: 0.727s | Avg Δt: 1.076s
2025-07-28 18:15:11 | test/module | Payload: 428 | Loss: 0.00% | Missed: 0 | Δt: 3.061s | Avg Δt: 1.108s
2025-07-28 18:15:13 | test/module | Payload: 429 | Loss: 0.00% | Missed: 0 | Δt: 1.296s | Avg Δt: 1.111s
2025-07-28 18:15:13 | test/module | Payload: 430 | Loss: 0.00% | Missed: 0 | Δt: 0.840s | Avg Δt: 1.107s
2025-07-28 18:15:14 | test/module | Payload: 431 | Loss: 0.00% | Missed: 0 | Δt: 0.979s | Avg Δt: 1.105s
2025-07-28 18:15:16 | test/module | Payload: 432 | Loss: 0.00% | Missed: 0 | Δt: 1.376s | Avg Δt: 1.109s
2025-07-28 18:15:16 | test/module | Payload: 433 | Loss: 0.00% | Missed: 0 | Δt: 0.580s | Avg Δt: 1.101s
2025-07-28 18:15:17 | test/module | Payload: 434 | Loss: 0.00% | Missed: 0 | Δt: 0.681s | Avg Δt: 1.095s
2025-07-28 18:15:18 | test/module | Payload: 435 | Loss: 0.00% | Missed: 0 | Δt: 0.719s | Avg Δt: 1.090s
2025-07-28 18:15:19 | test/module | Payload: 436 | Loss: 0.00% | Missed: 0 | Δt: 0.808s | Avg Δt: 1.086s
2025-07-28 18:15:19 | test/module | Payload: 437 | Loss: 0.00% | Missed: 0 | Δt: 0.688s | Avg Δt: 1.080s
2025-07-28 18:15:21 | test/module | Payload: 438 | Loss: 0.00% | Missed: 0 | Δt: 1.667s | Avg Δt: 1.088s
2025-07-28 18:15:22 | test/module | Payload: 439 | Loss: 0.00% | Missed: 0 | Δt: 0.838s | Avg Δt: 1.085s
2025-07-28 18:15:22 | test/module | Payload: 440 | Loss: 0.00% | Missed: 0 | Δt: 0.695s | Avg Δt: 1.080s
2025-07-28 18:15:23 | test/module | Payload: 441 | Loss: 0.00% | Missed: 0 | Δt: 0.908s | Avg Δt: 1.077s
2025-07-28 18:15:24 | test/module | Payload: 442 | Loss: 0.00% | Missed: 0 | Δt: 0.859s | Avg Δt: 1.074s
2025-07-28 18:15:25 | test/module | Payload: 443 | Loss: 0.00% | Missed: 0 | Δt: 0.925s | Avg Δt: 1.073s
2025-07-28 18:15:26 | test/module | Payload: 444 | Loss: 0.00% | Missed: 0 | Δt: 0.804s | Avg Δt: 1.069s
2025-07-28 18:15:27 | test/module | Payload: 445 | Loss: 0.00% | Missed: 0 | Δt: 0.708s | Avg Δt: 1.065s
2025-07-28 18:15:27 | test/module | Payload: 446 | Loss: 0.00% | Missed: 0 | Δt: 0.641s | Avg Δt: 1.059s
2025-07-28 18:15:28 | test/module | Payload: 447 | Loss: 0.00% | Missed: 0 | Δt: 0.738s | Avg Δt: 1.056s
2025-07-28 18:15:29 | test/module | Payload: 448 | Loss: 0.00% | Missed: 0 | Δt: 0.947s | Avg Δt: 1.054s
2025-07-28 18:15:30 | test/module | Payload: 449 | Loss: 0.00% | Missed: 0 | Δt: 0.696s | Avg Δt: 1.050s
2025-07-28 18:15:30 | test/module | Payload: 450 | Loss: 0.00% | Missed: 0 | Δt: 0.580s | Avg Δt: 1.044s
2025-07-28 18:15:31 | test/module | Payload: 451 | Loss: 0.00% | Missed: 0 | Δt: 0.720s | Avg Δt: 1.041s
2025-07-28 18:15:32 | test/module | Payload: 452 | Loss: 0.00% | Missed: 0 | Δt: 0.601s | Avg Δt: 1.036s
2025-07-28 18:15:33 | test/module | Payload: 453 | Loss: 0.00% | Missed: 0 | Δt: 1.303s | Avg Δt: 1.039s
2025-07-28 18:15:34 | test/module | Payload: 454 | Loss: 0.00% | Missed: 0 | Δt: 0.577s | Avg Δt: 1.033s
2025-07-28 18:15:34 | test/module | Payload: 455 | Loss: 0.00% | Missed: 0 | Δt: 0.919s | Avg Δt: 1.032s
2025-07-28 18:15:35 | test/module | Payload: 456 | Loss: 0.00% | Missed: 0 | Δt: 0.883s | Avg Δt: 1.031s
2025-07-28 18:15:36 | test/module | Payload: 457 | Loss: 0.00% | Missed: 0 | Δt: 0.908s | Avg Δt: 1.029s
2025-07-28 18:15:38 | test/module | Payload: 458 | Loss: 0.00% | Missed: 0 | Δt: 1.357s | Avg Δt: 1.033s
2025-07-28 18:15:39 | test/module | Payload: 459 | Loss: 0.00% | Missed: 0 | Δt: 1.339s | Avg Δt: 1.036s
2025-07-28 18:15:40 | test/module | Payload: 460 | Loss: 0.00% | Missed: 0 | Δt: 0.870s | Avg Δt: 1.034s
2025-07-28 18:15:41 | test/module | Payload: 461 | Loss: 0.00% | Missed: 0 | Δt: 1.038s | Avg Δt: 1.034s
2025-07-28 18:15:42 | test/module | Payload: 462 | Loss: 0.00% | Missed: 0 | Δt: 0.884s | Avg Δt: 1.033s
2025-07-28 18:15:43 | test/module | Payload: 463 | Loss: 0.00% | Missed: 0 | Δt: 1.183s | Avg Δt: 1.034s
2025-07-28 18:15:44 | test/module | Payload: 464 | Loss: 0.00% | Missed: 0 | Δt: 1.026s | Avg Δt: 1.034s
2025-07-28 18:15:45 | test/module | Payload: 465 | Loss: 0.00% | Missed: 0 | Δt: 0.692s | Avg Δt: 1.031s
2025-07-28 18:15:46 | test/module | Payload: 466 | Loss: 0.00% | Missed: 0 | Δt: 1.654s | Avg Δt: 1.037s
2025-07-28 18:15:47 | test/module | Payload: 467 | Loss: 0.00% | Missed: 0 | Δt: 0.837s | Avg Δt: 1.035s
2025-07-28 18:15:48 | test/module | Payload: 468 | Loss: 0.00% | Missed: 0 | Δt: 0.810s | Avg Δt: 1.033s
2025-07-28 18:15:49 | test/module | Payload: 469 | Loss: 0.00% | Missed: 0 | Δt: 1.042s | Avg Δt: 1.033s
2025-07-28 18:15:50 | test/module | Payload: 470 | Loss: 0.00% | Missed: 0 | Δt: 0.816s | Avg Δt: 1.031s
2025-07-28 18:15:51 | test/module | Payload: 471 | Loss: 0.00% | Missed: 0 | Δt: 0.931s | Avg Δt: 1.030s
2025-07-28 18:15:52 | test/module | Payload: 472 | Loss: 0.00% | Missed: 0 | Δt: 0.890s | Avg Δt: 1.029s
2025-07-28 18:15:52 | test/module | Payload: 473 | Loss: 0.00% | Missed: 0 | Δt: 0.822s | Avg Δt: 1.027s
2025-07-28 18:15:53 | test/module | Payload: 474 | Loss: 0.00% | Missed: 0 | Δt: 1.028s | Avg Δt: 1.027s
2025-07-28 18:15:54 | test/module | Payload: 475 | Loss: 0.00% | Missed: 0 | Δt: 0.992s | Avg Δt: 1.026s
2025-07-28 18:15:55 | test/module | Payload: 476 | Loss: 0.00% | Missed: 0 | Δt: 0.871s | Avg Δt: 1.025s
2025-07-28 18:15:56 | test/module | Payload: 477 | Loss: 0.00% | Missed: 0 | Δt: 0.860s | Avg Δt: 1.023s
2025-07-28 18:15:57 | test/module | Payload: 478 | Loss: 0.00% | Missed: 0 | Δt: 1.027s | Avg Δt: 1.023s
2025-07-28 18:15:59 | test/module | Payload: 479 | Loss: 0.00% | Missed: 0 | Δt: 1.416s | Avg Δt: 1.027s
2025-07-28 18:15:59 | test/module | Payload: 480 | Loss: 0.00% | Missed: 0 | Δt: 0.790s | Avg Δt: 1.025s
2025-07-28 18:16:02 | test/module | Payload: 481 | Loss: 0.00% | Missed: 0 | Δt: 2.930s | Avg Δt: 1.041s
2025-07-28 18:16:06 | test/module | Payload: 482 | Loss: 0.00% | Missed: 0 | Δt: 3.354s | Avg Δt: 1.061s
2025-07-28 18:16:07 | test/module | Payload: 483 | Loss: 0.00% | Missed: 0 | Δt: 0.948s | Avg Δt: 1.060s
2025-07-28 18:16:07 | test/module | Payload: 484 | Loss: 0.00% | Missed: 0 | Δt: 0.685s | Avg Δt: 1.057s
2025-07-28 18:16:09 | test/module | Payload: 485 | Loss: 0.00% | Missed: 0 | Δt: 1.412s | Avg Δt: 1.060s
2025-07-28 18:16:09 | test/module | Payload: 486 | Loss: 0.00% | Missed: 0 | Δt: 0.533s | Avg Δt: 1.056s
2025-07-28 18:16:10 | test/module | Payload: 487 | Loss: 0.00% | Missed: 0 | Δt: 0.708s | Avg Δt: 1.053s
2025-07-28 18:16:12 | test/module | Payload: 488 | Loss: 0.00% | Missed: 0 | Δt: 1.550s | Avg Δt: 1.057s
2025-07-28 18:16:13 | test/module | Payload: 489 | Loss: 0.00% | Missed: 0 | Δt: 1.912s | Avg Δt: 1.064s
2025-07-28 18:16:15 | test/module | Payload: 490 | Loss: 0.00% | Missed: 0 | Δt: 1.141s | Avg Δt: 1.064s
2025-07-28 18:16:16 | test/module | Payload: 491 | Loss: 0.00% | Missed: 0 | Δt: 1.499s | Avg Δt: 1.068s
2025-07-28 18:16:18 | test/module | Payload: 492 | Loss: 0.00% | Missed: 0 | Δt: 1.889s | Avg Δt: 1.074s
2025-07-28 18:16:22 | test/module | Payload: 493 | Loss: 0.00% | Missed: 0 | Δt: 3.596s | Avg Δt: 1.094s
2025-07-28 18:16:22 | test/module | Payload: 494 | Loss: 0.00% | Missed: 0 | Δt: 0.751s | Avg Δt: 1.091s
2025-07-28 18:16:23 | test/module | Payload: 495 | Loss: 0.00% | Missed: 0 | Δt: 1.149s | Avg Δt: 1.092s
2025-07-28 18:16:25 | test/module | Payload: 496 | Loss: 0.00% | Missed: 0 | Δt: 1.186s | Avg Δt: 1.092s
2025-07-28 18:16:26 | test/module | Payload: 497 | Loss: 0.00% | Missed: 0 | Δt: 1.202s | Avg Δt: 1.093s
2025-07-28 18:16:30 | test/module | Payload: 498 | Loss: 0.00% | Missed: 0 | Δt: 4.059s | Avg Δt: 1.116s
2025-07-28 18:16:35 | test/module | Payload: 499 | Loss: 0.00% | Missed: 0 | Δt: 5.550s | Avg Δt: 1.149s
2025-07-28 18:16:36 | test/module | Payload: 500 | Loss: 0.00% | Missed: 0 | Δt: 0.888s | Avg Δt: 1.147s
2025-07-28 18:16:37 | test/module | Payload: 501 | Loss: 0.00% | Missed: 0 | Δt: 1.028s | Avg Δt: 1.146s
2025-07-28 18:16:38 | test/module | Payload: 502 | Loss: 0.00% | Missed: 0 | Δt: 0.838s | Avg Δt: 1.144s
2025-07-28 18:16:39 | test/module | Payload: 503 | Loss: 0.00% | Missed: 0 | Δt: 0.720s | Avg Δt: 1.140s
2025-07-28 18:16:40 | test/module | Payload: 504 | Loss: 0.00% | Missed: 0 | Δt: 0.882s | Avg Δt: 1.139s
2025-07-28 18:16:41 | test/module | Payload: 505 | Loss: 0.00% | Missed: 0 | Δt: 1.045s | Avg Δt: 1.138s
2025-07-28 18:16:43 | test/module | Payload: 506 | Loss: 0.00% | Missed: 0 | Δt: 1.782s | Avg Δt: 1.143s
2025-07-28 18:16:44 | test/module | Payload: 507 | Loss: 0.00% | Missed: 0 | Δt: 0.914s | Avg Δt: 1.141s
2025-07-28 18:16:44 | test/module | Payload: 508 | Loss: 0.00% | Missed: 0 | Δt: 0.923s | Avg Δt: 1.139s
2025-07-28 18:16:45 | test/module | Payload: 509 | Loss: 0.00% | Missed: 0 | Δt: 0.926s | Avg Δt: 1.138s
2025-07-28 18:16:46 | test/module | Payload: 510 | Loss: 0.00% | Missed: 0 | Δt: 0.793s | Avg Δt: 1.136s
2025-07-28 18:16:47 | test/module | Payload: 511 | Loss: 0.00% | Missed: 0 | Δt: 0.801s | Avg Δt: 1.133s
2025-07-28 18:16:48 | test/module | Payload: 512 | Loss: 0.00% | Missed: 0 | Δt: 0.885s | Avg Δt: 1.132s
2025-07-28 18:16:49 | test/module | Payload: 513 | Loss: 0.00% | Missed: 0 | Δt: 0.812s | Avg Δt: 1.129s
2025-07-28 18:16:49 | test/module | Payload: 514 | Loss: 0.00% | Missed: 0 | Δt: 0.749s | Avg Δt: 1.127s
